Sex,Age interval,Education level,Access to phone,What is environment?,How should the environment be for us to be in good health?,Have you already heard about climate change?,What is climate change?,Main heating gaz you know?,What produces heating gaz?,What are the consequencies of climate change?,What can we do to adapt to climate change?,Have you heard about environment club?,Why does one create environment clubs?,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery?,Are you willing to be trained mangroves nursery?,Are you ready to be part of an environment club?,Are you willing to sensitize your parents on how to protect the environment?,What would you do with a plastic water bag or bottle after drinking it if there is no trash bin nearby?,What would you do with a plastic water bag or bottle after drinking it in a car?,What would you do if one of your parents decided to cut down a tree that provides a lot of fruit or that is on a slope?
Male,From 15 to 20,Secondary school,Yes,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,Don't know,Don't know,Increase in the earth temperature There are more hurricane and they become more violent,Plant trees to stock the excess of CO2,Yes,Don't know,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Protect the reefs Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Urbanization of mangrove areas,Yes,Plant more mangroves,Wind breaker Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Other
Male,Greater than 20,Secondary school,Yes,Spaces where people live,The environment must be clean,,Don't know,,,,,Yes,,A tree that grows in forest by the sea,No,,,,Protect the reefs,Yes,Community over-exploitation of mangroves,Yes,Organize a management committee,Facilitate water filtration to the ground Wind breaker,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,From 15 to 20,Secondary school,No,Spaces where people live,"The environment must be clean WE must protect the trees We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,Don't know,,Don't know,Plant trees to stock the excess of CO2 Other,Yes,,Don't know,,,,,,,,,,Controle the earth temperature Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 15 to 20,Secondary school,Yes,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Don't know,,,,,Yes,Don't know,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Growing environment for crustaceans Protect the reefs,No,,,,Provide oxygen Protection against flooding,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 15 to 20,Secondary school,Yes,Don't know,The environment must be clean,,,,,,,Yes,Don't know,A tree that grows in forest by the sea,No,,,,Protect the reefs Growing environment for crustaceans,No,,,,Controle the earth temperature Wind breaker,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree Other
Male,Greater than 20,Secondary school,Yes,"Spaces where people live Rivers, water springs","WE must protect the trees We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Other,CO2,Vehicles that run with fossil energies Deforestation,Increase in the earth temperature,Don't know,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Protect the reefs Growing environment for crustaceans It contributes to food security (thank to fishing products),Yes,Decrease in the sea level Community over-exploitation of mangroves,Yes,Soil conservation in the mountains Plant more mangroves,Controle the earth temperature Wind breaker Protect soil agains erosion,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Other Explain him/her the importance of the tree
Male,From 12 to 15,Primary school,No,Don't know,Don't know,,,,,,,No,Don't know,A tree that grows in forest by the sea,No,,No,,Protect the reefs Growing environment for crustaceans,No,,,,Controle the earth temperature Provide oxygen Other,No,Yes,Yes,Yes,Throw it at the roadside,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other Explain him/her the importance of the tree
Female,From 15 to 20,Secondary school,Yes,Spaces where people live,The environment must be clean,,,,,,,No,To carry out environmental sensitization activities To plant trees,Don't know,,,,,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Urbanization of mangrove areas Other,Yes,Educate and sensitize the population on how to exploit mangroves,Facilitate water filtration to the ground Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 15 to 20,Secondary school,Yes,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Don't know,,,,,No,To carry out training about environment,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans Protect the reefs It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves,No,,Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,From 15 to 20,Primary school,Yes,Spaces where people live,The environment must be clean WE must protect the trees,,,,,,,Yes,,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Growing environment for crustaceans Birds habitat,Yes,Community over-exploitation of mangroves Urbanization of mangrove areas,No,,Controle the earth temperature Wind breaker,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,Yes,Don't know,Don't know,,,Don't know,Don't know,Don't know,Don't know,Yes,,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Protect the reefs Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Plant more mangroves Elaborate a plan with community management,Controle the earth temperature Provide oxygen,No,Yes,Yes,Yes,Throw it at the roadside,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,Less than 12,Primary school,No,Spaces where people live,The environment must be clean,,Don't know,,,,,Yes,,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them Do not throw garbage in the mangroves,Protect the reefs,Yes,Community over-exploitation of mangroves,Yes,Other,Provide food for human and animals Controle the earth temperature,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 15 to 20,Primary school,Yes,Don't know,Don't know,,,,,,,Yes,Don't know,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them Do not throw garbage in the mangroves,Other,Yes,Community over-exploitation of mangroves Mangroves become a dumping ground for garbage,Yes,Other,Controle the earth temperature Provide food for human and animals,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,No,Don't know,The environment must be clean,,,,,,,No,To carry out training about environment To carry out environmental sensitization activities,A tree that grows in forest by the sea,No,,No,,Protect the reefs Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,No,,Provide food for human and animals Wind breaker,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 15 to 20,Secondary school,No,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Other,Don't know,Don't know,Don't know,Don't know,Yes,,Don't know,,,,,,,,,,Provide oxygen Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home Other,Other
Female,Less than 12,Primary school,No,Spaces where people live,"We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea Other",,Don't know,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Throw it bellow the car,Other
Female,Less than 12,Primary school,No,Spaces where people live,"We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea The environment must be clean Other",,Don't know,,,,,Yes,Don't know,A tree that produces mangoes,No,,,,,,,,,Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Other
Female,Less than 12,Primary school,No,Don't know,"WE must protect the trees We must plant trees, mostly in the mountains",,Don't know,,,,,No,Don't know,A tree that produces mangoes,No,,Yes,Do not throw garbage in the mangroves Other,Other,No,,,Other,Provide oxygen Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road Throw it bellow the car,Other
Female,Less than 12,Primary school,No,Spaces where people live Other,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Don't know,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Provide oxygen Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,Less than 12,Primary school,No,Don't know,Don't know,,,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Provide food for human and animals Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Other
Female,Less than 12,Primary school,Yes,Don't know,Don't know,,,,,,,Yes,,Don't know,,,,,,,,,,Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Other
Female,From 12 to 15,Secondary school,No,Spaces where people live,The environment must be clean,,Other,Other,Don't know,Don't know,Other,No,To carry out environmental sensitization activities,Don't know,,,,,,,,,,Provide oxygen Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Other
Female,From 12 to 15,Primary school,No,Don't know,Don't know,,,,,,,Yes,,Don't know,,,,,,,,,,Other Wind breaker,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Other
Female,From 12 to 15,Primary school,No,Spaces where people live,Don't know,,,,,,,Yes,,Don't know,,,,,,,,,,Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 12 to 15,Primary school,Yes,Spaces where people live,The environment must be clean,,,,,,,No,Other,Don't know,,,,,,,,,,Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,From 12 to 15,Primary school,No,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,No,Don't know,Don't know,,,,,,,,,,Provide oxygen Other,No,Yes,Yes,No,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 15 to 20,Primary school,No,Spaces where people live,The environment must be clean,,Other,Don't know,Don't know,Other,Don't know,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,No,,No,,Growing environment for crustaceans Other,No,,,,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Other
Female,From 15 to 20,Primary school,No,Spaces where people live,The environment must be clean,,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Facilitate water filtration to the ground Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Other
Male,From 15 to 20,Primary school,No,Spaces where people live,The environment must be clean Other,,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,From 12 to 15,Primary school,No,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Don't know,,,,,Yes,,Don't know,,,,,,,,,,Provide oxygen Facilitate water filtration to the ground Protect soil agains erosion Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 15 to 20,Primary school,No,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,No,To carry out training about environment To carry out environmental sensitization activities,Don't know,,,,,,,,,,Provide oxygen Protect soil agains erosion,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 12 to 15,Primary school,No,Spaces where people live,"WE must protect the trees The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea Other",,,,,,,No,To carry out training about environment To carry out environmental sensitization activities,Don't know,,,,,,,,,,Provide oxygen Facilitate water filtration to the ground,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,From 12 to 15,Primary school,Yes,Spaces where people live,"We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea We must plant trees, mostly in the mountains",,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Facilitate water filtration to the ground Natural medicines Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 15 to 20,Primary school,No,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,No,To carry out training about environment Other,Don't know,,,,,,,,,,Don't know,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,From 15 to 20,Primary school,Yes,Spaces where people live,The environment must be clean,,,,,,,No,Don't know,Don't know,,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Protection against flooding,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 15 to 20,Primary school,No,Spaces where people live,The environment must be clean,,,,,,,No,To carry out environmental sensitization activities To carry out training about environment To relax in the afternoon,Don't know,,,,,,,,,,Wind breaker Protection against flooding Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Throw it bellow the car Put it in my bag and put it in a trash bin at home,Other
Male,From 12 to 15,Primary school,Yes,Spaces where people live,The environment must be clean,,,,,,,Yes,,Don't know,,,,,,,,,,Provide oxygen Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,From 12 to 15,Primary school,Yes,Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains",,,,,,,No,To carry out training about environment To carry out environmental sensitization activities,Don't know,,,,,,,,,,Provide oxygen Wind breaker Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Other
Female,Less than 12,Primary school,No,Spaces where people live Spaces where there are trees,"WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea The environment must be clean",,,,,,,Yes,,A tree that grows in forest by the sea,No,,No,,Growing environment for crustaceans,No,,,,Provide oxygen Protection against flooding Protect soil agains erosion,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 12 to 15,Primary school,No,Spaces where people live,The environment must be clean WE must protect the trees,,,,,,,Yes,,Don't know,,,,,,,,,,Provide oxygen Provide food for human and animals Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 12 to 15,Primary school,No,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea Other",,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,Yes,Decrease in the sea level Mangroves become a dumping ground for garbage,Yes,Plant more mangroves Educate and sensitize the population on how to exploit mangroves Other,Protect soil agains erosion Provide oxygen Protection against flooding Wind breaker,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 12 to 15,Primary school,No,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,Yes,,Don't know,,,,,,,,,,Don't know,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,Less than 12,Primary school,No,Spaces where people live,The environment must be clean,,,,,,,No,To carry out training about environment,Don't know,,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Protection against flooding,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 12 to 15,Primary school,No,Spaces where people live,The environment must be clean,,,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Protection against flooding Wind breaker,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,No,Spaces where people live,"We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea The environment must be clean",,,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Provide oxygen Wind breaker,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 15 to 20,Primary school,No,Don't know,The environment must be clean,,,,,,,No,To carry out training about environment To carry out environmental sensitization activities,Don't know,,,,,,,,,,Protect soil agains erosion Natural medicines,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 12 to 15,Primary school,No,Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,Less than 12,Primary school,Yes,Spaces where people live,The environment must be clean WE must protect the trees,,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Controle the earth temperature Facilitate water filtration to the ground Protection against flooding Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road Throw it bellow the car,Explain him/her the importance of the tree
Male,Less than 12,Primary school,No,Spaces where there are trees Spaces where people live,The environment must be clean,,,,,,,Yes,,A tree that grows in forest by the sea,No,,,,Birds habitat Growing environment for crustaceans It contributes to food security (thank to fishing products),No,,,,Protection against flooding Protect soil agains erosion Facilitate water filtration to the ground,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,Less than 12,Primary school,Yes,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea We must plant trees, mostly in the mountains",,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,Yes,Don't cut them,Prevent flooding Other,Yes,Urbanization of mangrove areas Continuous deposition of sediments in mangroves Community over-exploitation of mangroves,Yes,Plant more mangroves,Controle the earth temperature Provide oxygen Protect soil agains erosion Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
