Sex,Age interval,Education level,Access to phone,What is environment?,How should the environment be for us to be in good health?,Have you already heard about climate change?,What is climate change?,Main heating gaz you know?,What produces heating gaz?,What are the consequencies of climate change?,What can we do to adapt to climate change?,Have you heard about environment club?,Why does one create environment clubs?,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery?,Are you willing to be trained mangroves nursery?,Are you ready to be part of an environment club?,Are you willing to sensitize your parents on how to protect the environment?,What would you do with a plastic water bag or bottle after drinking it if there is no trash bin nearby?,What would you do with a plastic water bag or bottle after drinking it in a car?,What would you do if one of your parents decided to cut down a tree that provides a lot of fruit or that is on a slope?
Female,Less than 12,Primary school,Yes,Spaces where people live,"The environment must be clean WE must protect the trees We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,Yes,,A tree that produces mangoes,No,,Yes,Don't cut them,Prevent flooding,Yes,Other,Yes,Plant more mangroves,Protect soil agains erosion Facilitate water filtration to the ground Provide oxygen Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Male,From 12 to 15,Primary school,Yes,Spaces where people live,The environment must be clean,,,,,,,Yes,,A tree that grows in forest by the sea,No,,No,,,,,,,Facilitate water filtration to the ground Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 12 to 15,Primary school,No,Spaces where people live,The environment must be clean,,Don't know,,,,,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,No,,Growing environment for crustaceans It contributes to food security (thank to fishing products),Yes,Continuous deposition of sediments in mangroves,Yes,Plant more mangroves,Other Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,Yes,Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Provide food for human and animals Provide oxygen Protection against flooding,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,Yes,Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,Yes,,A tree that grows in forest by the sea,No,,No,,Prevent flooding,No,,,,Protect soil agains erosion Facilitate water filtration to the ground Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,Less than 12,Primary school,No,Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains",,,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Provide oxygen Protection against flooding,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains",,,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Provide oxygen Protection against flooding,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,Yes,Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains",,,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Provide oxygen Protection against flooding,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 12 to 15,Primary school,Yes,Spaces where people live,The environment must be clean,,,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 15 to 20,Primary school,Yes,Spaces where people live,The environment must be clean,,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Protect soil agains erosion Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,Less than 12,Primary school,Yes,Spaces where people live Spaces where there are trees,"The environment must be clean We must plant trees, mostly in the mountains",,,,,,,Yes,,Don't know,,,,,,,,,,Protect soil agains erosion Provide oxygen Protection against flooding Wind breaker,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 15 to 20,Primary school,Yes,Spaces where people live,The environment must be clean,,,,,,,Yes,,A tree that grows in forest by the sea,No,,No,,Protect the reefs Prevent flooding,No,,,,Provide oxygen Protection against flooding Facilitate water filtration to the ground Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 15 to 20,Primary school,Yes,Spaces where people live Other,"The environment must be clean We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,Yes,,Don't know,,,,,,,,,,Provide oxygen Facilitate water filtration to the ground Protect soil agains erosion Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,No,Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Protect soil agains erosion Provide oxygen Protection against flooding Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Female,Less than 12,Primary school,No,Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,Yes,,A tree that grows in forest by the sea,No,,Yes,Don't cut them,Growing environment for crustaceans Birds habitat It contributes to food security (thank to fishing products),No,,No,Plant more mangroves,Facilitate water filtration to the ground Provide oxygen Protection against flooding Protect soil agains erosion,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,No,Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea We must plant trees, mostly in the mountains",,,,,,,Yes,,Don't know,,,,,,,,,,Protection against flooding Protect soil agains erosion Provide oxygen Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,Spaces where people live,The environment must be clean,,,,,,,Yes,,A tree that grows in forest by the sea,No,,No,,Prevent flooding Protect the reefs Growing environment for crustaceans,No,,No,Plant more mangroves,Protection against flooding Provide oxygen Protect soil agains erosion Wind breaker Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 12 to 15,Secondary school,Yes,"Spaces where there are trees Rivers, water springs The sea Spaces where live the animals Spaces where people live","The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Don't know,Don't know,No,,No,,Other,No,,No,,Facilitate water filtration to the ground Provide food for human and animals Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Female,From 15 to 20,Secondary school,Yes,Spaces where there are trees Spaces where live the animals Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Other,Don't know,Don't know,Increase in the earth temperature Other,Other,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,No,,It contributes to food security (thank to fishing products) Prevent flooding Protect the reefs,No,,Yes,Plant more mangroves Other,Natural medicines Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree Other
Male,From 15 to 20,Secondary school,Yes,Spaces where there are trees Spaces where live the animals Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,Don't know,Don't know,Other,Don't know,Yes,Don't know,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,No,,Yes,Enforce law to protect the mangroves Other,Controle the earth temperature Provide oxygen Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Female,From 15 to 20,Secondary school,Yes,Spaces where there are trees Spaces where live the animals Spaces where people live,"The environment must be clean We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities Other,Oxygen Other,Other,Other,Other,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,No,,No,,Other,No,,No,,Wind breaker Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,From 15 to 20,Secondary school,Yes,"Spaces where there are trees Rivers, water springs Spaces where live the animals Spaces where people live","The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Other,Don't know,Don't know,Don't know,Don't know,Yes,Don't know,Don't know,No,,No,,,No,,,,Provide food for human and animals Natural medicines Controle the earth temperature Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Female,From 15 to 20,Secondary school,Yes,Spaces where there are trees Spaces where people live,The environment must be clean,,Other,CO2,Don't know,Increase in the earth temperature It occasions diseases for human being and animals,Other,Yes,Don't know,A tree that grows in forest by the sea,Yes,,Yes,Don't cut them,Prevent flooding Other,No,Community over-exploitation of mangroves,Yes,Plant more mangroves Other,Protect soil agains erosion Controle the earth temperature Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Female,From 15 to 20,Secondary school,Yes,Spaces where live the animals Spaces where people live,"WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,Don't know,,,,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,Yes,Other,,,It contributes to food security (thank to fishing products) Birds habitat,Yes,Community over-exploitation of mangroves,Yes,Enforce law to protect the mangroves,Facilitate water filtration to the ground Provide food for human and animals Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road Other,Explain him/her the importance of the tree Other
Female,Greater than 20,Secondary school,Yes,Spaces where people live,"WE must protect the trees We must plant trees, mostly in the mountains",,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,Don't know,Don't know,Increase in the earth temperature It causes drought It causes flooding It occasions diseases for human being and animals,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Don't cut them,It contributes to food security (thank to fishing products) Birds habitat Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Urbanization of mangrove areas Mangroves become a dumping ground for garbage,Yes,Organize a management committee,Provide oxygen,Yes,Yes,Yes,Yes,Other,Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,Greater than 20,Secondary school,Yes,Spaces where people live,"WE must protect the trees We must plant trees, mostly in the mountains",,,,,,,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Don't cut them,It contributes to food security (thank to fishing products) Prevent flooding,No,,,,Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Other,Put it in my bag and put it in a trash bin at home,Other
Female,From 15 to 20,Secondary school,Yes,Spaces where live the animals Spaces where people live,"The environment must be clean We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2 Oxygen Other,Other,It causes drought Other,Other,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,,,Birds habitat Growing environment for crustaceans,No,,,,Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Throw it on the ground Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,Greater than 20,Secondary school,Yes,Spaces where people live,WE must protect the trees,,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,Don't know,,,,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Don't cut them,Prevent flooding Other,No,,,,Facilitate water filtration to the ground Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,Greater than 20,Secondary school,Yes,Spaces where people live,The environment must be clean,,,,,,,No,Don't know,A tree that grows in forest by the sea,No,,,,Other,No,,,,Controle the earth temperature Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree Other
Female,From 15 to 20,Secondary school,Yes,Spaces where people live,The environment must be clean,,,,,,,Yes,,Don't know,No,,,,,,,,,Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Throw it bellow the car,Other
Female,From 12 to 15,Secondary school,Yes,Spaces where people live,The environment must be clean,,,,,,,Yes,,A tree that grows in forest by the sea,No,,,,It contributes to food security (thank to fishing products),Yes,Urbanization of mangrove areas,Yes,Enforce law to protect the mangroves,Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 15 to 20,Secondary school,Yes,Spaces where people live,"The environment must be clean WE must protect the trees We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,Yes,,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Don't cut them,Other,No,,,,Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Throw it on the ground,Other
Male,From 15 to 20,Secondary school,Yes,Spaces where people live,The environment must be clean,,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Deforestation,Other,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,,,Protect the reefs,Yes,Community over-exploitation of mangroves Urbanization of mangrove areas,Yes,Enforce law to protect the mangroves,Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 15 to 20,Secondary school,Yes,Other,Don't know,,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,Don't know,,Don't know,Don't know,Yes,,A tree that grows in forest by the sea,No,,,,Prevent flooding Growing environment for crustaceans,No,,,,Provide food for human and animals Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Female,From 15 to 20,Secondary school,Yes,Spaces where people live,The environment must be clean,,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,Don't know,,It causes drought It causes flooding,Other,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,,,Prevent flooding Growing environment for crustaceans,No,,,,Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,Greater than 20,Primary school,Yes,Spaces where people live,WE must protect the trees,,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Other,Increase in the earth temperature,Other,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,No,,Other,No,,,Enforce law to protect the mangroves,Provide food for human and animals,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,From 12 to 15,Primary school,Yes,Spaces where people live,The environment must be clean,,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Other,Don't know,"Manage garbage, recycle them",Yes,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,,,Prevent flooding,No,,,,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Other
Female,From 12 to 15,Primary school,Yes,Spaces where there are trees,"We must plant trees, mostly in the mountains",,Don't know,CO2,Other,Don't know,Other,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Don't cut them,Prevent flooding,No,,,Plant more mangroves,Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 15 to 20,Primary school,Yes,Don't know,Don't know,,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,A tree that grows in forest by the sea,No,,,,It contributes to food security (thank to fishing products),No,,,,Provide food for human and animals,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road,Other
Male,From 12 to 15,Primary school,Yes,Don't know,Don't know,,Don't know,Don't know,Don't know,Don't know,Don't know,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,Yes,Other,No,,Provide food for human and animals,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Male,From 15 to 20,Primary school,Yes,Don't know,Don't know,,,,,,,No,To carry out training about environment,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them,Growing environment for crustaceans,No,,,,Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road,Don't know
Male,From 15 to 20,Secondary school,Yes,Spaces where people live,The environment must be clean,,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Vehicles that run with fossil energies,Increase in the sea saltiness It occasions diseases for human being and animals,Plant trees to stock the excess of CO2,No,To carry out training about environment,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,No,,,Enforce law to protect the mangroves,Provide food for human and animals,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Other
Male,From 15 to 20,Secondary school,Yes,Don't know,The environment must be clean,,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,Don't know,Don't know,It occasions diseases for human being and animals,Don't know,No,To carry out training about environment,A tree that grows in forest by the sea,No,,,,Prevent flooding,No,,,,Provide oxygen,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,No,Spaces where people live,The environment must be clean,,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Protect soil agains erosion Controle the earth temperature Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Female,Less than 12,Primary school,No,Spaces where people live,The environment must be clean,,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Wind breaker Facilitate water filtration to the ground Protect soil agains erosion Other,No,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Female,From 12 to 15,Primary school,No,Spaces where people live Spaces where there are trees,"WE must protect the trees The environment must be clean We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",,,,,,,No,To carry out environmental sensitization activities To carry out training about environment,Don't know,,,,,,,,,,Natural medicines Controle the earth temperature,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
